name,area,address,score,mentions,info,hours
콘하스 연남,홍대,서울 마포구 동교로41길 33,⭐5,2,"🔌넉넉(콘센트 많음, 2층 카공존) | 📶있음 | 🔇조용 | 2층 카공 천국, 디저트 다양, TWG 차 판매",
렉터스라운지 홍대,홍대,서울 마포구 와우산로29길 14,⭐5,4,"🔌있음(콘센트 자리 선점 필요) | 📶있음 | 🔇조용 | 🌙24시간 | 멤버십 12-24시, 직접 개발한 음료, PC모니터 설비, 층별 공간 분리",10:00-24:00
ㅎㄷ카페,홍대,서울 마포구 어울마당로 68,⭐3,1,"🔉보통 | 9층 대형 테마 카페, 게이샤 원두 16,000원 가성비, K-POP미디어룸, 루프탑",매일 11:00-21:00
COC,홍대,서울 마포구 동교로 188,⭐4,1,"🔇조용 | 라떼 맛집, 느좋 카페",10:00-22:00
카페꼼마 합정점,홍대,서울 마포구 양화로 45,⭐4,2,"🔇조용 | 대형 북카페, 독서+카공 병행, 시즌 메뉴 퀄리티 높음",
작업실01,홍대,서울 마포구 홍익로2길 27-17 1층,⭐4,1,"🔇조용 | 이름부터 작업 전용, 홍대입구역 인근",
헤이키커피 홍대연남점,홍대,서울 마포구 연남동,⭐3,1,"가성비 카공 카페, 빵 맛집",
데이롱카페 홍대점,홍대,서울 마포구 홍대입구역 1번출구 인근,⭐4,1,"🔌있음 | 🌙24시간 | 프리미엄 무인카페, UCC원두/예가체프 선택, 2025년 신규 오픈",24시간
분더커피바 신촌분점,신촌,서울 서대문구 연세로7길 22,⭐4,4,"🔌있음(2층 콘센트 있는 좌석) | 🔉보통 | 카이막 맛집, 바나나브륄레, 부천 역곡 본점에서 분점",
트리클,신촌,서울 서대문구 창천동 30-8 1층-2층,⭐5,3,"🔌넉넉(콘센트 많고 좌석도 편한 편) | 🔇조용 | 호주식 에스프레소 전문점, 커피맛 깔끔, 토스트+잼 제공",매일 12:30-22:00 연중무휴
마리드 로얄 밀크티,신촌,서울 서대문구 연세로5나길 20,⭐4,1,"🔌있음(구석구석 콘센트 배치) | 📶있음 | 🔇조용 | 밀크티 전문, 당도 0~100 조절, 빈티지 찻잔 판매",연중무휴 11:00-22:00
프롬하츠커피 신촌점,신촌,서울 서대문구 연세로12길 19 1층,⭐4,1,"🔌있음 | 2호선/경의중앙선 신촌역 사이 위치, 건물 전체 카페",매일 10:00-22:30
카페앤,신촌,서울 서대문구 신촌역 인근,⭐4,1,"🔇조용 | 🌙24시간 | 24시 운영, 야간 카공 가능",24시간
바나프레소 신촌,신촌,서울 서대문구 신촌역 인근,⭐4,1,"🔌넉넉 | 5층 전체가 카페, 층별 좌석 다양, 가성비",
연플레이스,신촌,서울 서대문구 연세로 일대,⭐4,1,🔇조용 | 은행나무 시즌 창가석 특히 좋음,
신촌 브루스,신촌,서울 서대문구 연세로 일대,⭐3,1,"바테이블 카공, 팀플 가능, 바나나브레드",
본지르르 성수,성수,서울 성동구 서울숲2길 32-14,⭐5,3,"🔌넉넉(지하1층~2층 모든 층에 콘센트 좌석 많음) | 🔉보통 | 치즈케이크 맛집, 반려견 동반 가능",
피어커피 성수본점,성수,서울 성동구 광나루로4가길 24 1층,⭐4,1,"📶있음 | 🔇조용 | 5년 연속 블루리본 선정, 커피 맛집, 5개 지점 운영","평일 08:30-20:00, 주말 09:30-20:00"
카페 스밍 스튜디오,성수,서울 성동구 서울숲길 일대,⭐4,1,"🔌넉넉(콘센트 곳곳에 위치) | 애견동반 가능, 라면 주문 가능, 대관 가능",
ddd (디디디),성수,서울 성동구 연무장길 일대,⭐3,2,"🔌2/3 | 성수 카공 카페 5 선정, 트렌디한 인테리어, 늦게까지 영업",
하우스오브바이닐 성수점,성수,서울 성동구 아차산로7길 29 2층,⭐3,1,"파블로바 맛집, 웨이팅 없는 카페",
이페메라,성수,서울 성동구 성수이로 일대,⭐4,1,"🔇조용 | 테라스 있음, 우드톤 감성",~20:00
로우키,성수,서울 성동구 연무장길 일대,⭐4,1,🔇조용 | 라떼 맛집,
에어드랍커피 성수,성수,서울 성동구 성수이로 일대,⭐2,2,"5천원대 가성비, 밤에는 Bar로 변신, 충전 유료 주의, 말차 강추",
성수지앵 서울숲점,성수,서울 성동구 서울숲2길 일대,⭐4,1,"🔌있음 | 📶있음 | 🔇조용 | 가성비 음료, 넓은 좌석, 공부/작업 최적",
포어플랜,성수,서울 성동구 연무장5가길 7,⭐4,1,"🔌있음 | 🔇조용 | 위스키바 겸 카공, 다이닝코드 별점 4.7, 분위기 좋음",
나루터,잠실,서울 송파구 잠실동,⭐5,1,"🔌넉넉(콘센트가 많은 점이 노트북 유저에게 최고 장점) | 🔇조용 | 메뉴 퀄리티 대만족, 나만 알고 싶은 카페",
브루브루,잠실,서울 송파구 송리단길 일대,⭐5,2,"🔌넉넉(대부분의 자리마다 콘센트와 스탠드) | 🔉보통 | 🌙24시간 | 24시 대형 카페, 케이크/베이글 맛있음, 잠실 카공 카페 1순위",24시간
스타벅스 잠실롯데월드몰점,잠실,서울 송파구 올림픽로 300 롯데월드몰,⭐3,1,"🔌있음(비교적 많은 콘센트) | 📶빠름 | 🔉보통 | 접근성 최고, 롯데월드몰 주차 가능",
투썸플레이스 잠실점,잠실,서울 송파구 잠실역 인근,⭐3,1,"🔌있음 | 📶있음 | 🔉보통 | 프랜차이즈, 안정적 서비스",
이디야 잠실점,잠실,서울 송파구 잠실역 인근,⭐3,1,🔌있음 | 📶있음 | 🔉보통 | 가성비 좋은 프랜차이즈,
하우스서울,잠실,서울 송파구 올림픽로 424,⭐4,2,"🔌있음 | 🔇조용 | 올림픽공원 인근, 조용한 분위기, 노트북 작업 최적, 콘센트 좌석 있음",
VGG,잠실,서울 송파구 백제고분로 일대,⭐4,1,"🔌있음 | 🔇조용 | 석촌호수 인근, 화이트톤+오렌지 포인트, 모던한 분위기",
랑데자뷰 분당서현점,서현,서울 성남시 분당구 서현역 인근,⭐4,3,"🔉보통 | 130평 대형, 인형뽑기 머신, 카공족~MZ 모두 포용",
인비저블커피 분당서현점,서현,경기 성남시 분당구 서현역 인근,⭐5,3,"🔌있음 | 🔇조용 | 로스터리 카페, 블랙톤 무드, 원두 선택 가능 (고소한/산미), 주차 불가",
코지 카페,서현,경기 성남시 분당구 황새울로 352,⭐4,1,"🔌있음(자리마다는 아니지만 콘센트 자리 꽤 많음) | 📶있음 | 🔇조용 | 귀여운 인테리어, 아메리카노 5,000원, 서현역 5번 출구, 흡연실 내부",11:00-20:00 (월요일 휴무)
젠젠,서현,경기 성남시 분당구 서현역 인근,⭐4,1,"🔇조용 | 수플레 팬케이크 맛집, 홍차향 팬케이크, 초코 카페라떼",
굿웨더 서현점,서현,경기 성남시 분당구 서현역 인근,⭐3,1,"🔌있음(벽돌쪽 의자 밑에 콘센트) | 디저트 카페, 영수증 사진기, 거울샷 포토존",
바나프레소 분당서현점,서현,경기 성남시 분당구 분당로53번길 10 101호,⭐4,2,"🔌있음 | 🔇조용 | 🌙야간OK | 아침 7시 오픈, 밤 11시까지, 가성비, 다이어트 저당 메뉴",매일 07:00-23:00 (라스트오더 22:30)
엑성프로방스,정자,경기 성남시 분당구 정자일로 197 2층,⭐5,2,"🔌넉넉(문어발 코드까지 준비, 카공 판을 깔아줌) | 🔉보통 | 🌙야간OK | 새벽 3시까지 운영, 주차 3시간 무료 (푸르지오시티2차 지하1층), 하이볼/와인도 판매",11:30-03:00 (라스트오더 02:30)
헬싱키,정자,경기 성남시 분당구 정자동 카페골목,⭐4,2,"🌙24시간 | 에끌레어/디저트 맛집, 소개팅/데이트/카공 다목적",매일 11:00-24:00 (연중무휴)
카페 담,정자,경기 성남시 분당구 불정로 7 벤츠건물 1층,⭐4,2,"🔌있음(좌석마다 분위기 다름) | 🔇조용 | 🌙야간OK | 벤츠건물 1층, 아지트 같은 숨은 좌석, 애견동반 가능","평일 09:00-23:30, 주말 10:00-23:30"
댓이즈커피,정자,경기 성남시 분당구 정자역 인근,⭐3,1,"테라스 예쁨, 우드톤 인테리어",
골든클락,정자,경기 성남시 분당구 정자역 인근,⭐4,1,"🔇조용 | 브런치 메뉴, 근처 숨은 맛집 많음",
제너럴스토어,정자,경기 성남시 분당구 정자동,⭐4,1,"🔇조용 | 휘낭시에 맛집, 커피 가성비, 조용한 분위기",
카페 더고,정자,경기 성남시 분당구 느티로 22 1층 112호,⭐3,1,"혼다를 품은 카페, 정자역 5번 출구 바로 앞, 발렛파킹/무료주차, 시승 서비스",매일 09:30-21:00
플링크 커피 판교,판교,경기 성남시 분당구 판교역로 166 1층 12호,⭐5,1,"🔌넉넉(자리마다 콘센트 마련) | 🔇조용 | 서울 3대 크루아상, 카카오 아지트 1층, 아메리카노 5,000원, 페이스트리 맛집",매일 08:00-20:00
더노벰버라운지 판교운중점,판교,경기 성남시 분당구 운중동,⭐5,1,"🔌있음 | 🔇조용 | 🌙24시간 | 24시간 운영, 프리미엄 인테리어, 아메리카노 6,000원, 독서/업무 최적화","24시간 (새벽 2시 이후 주문 불가, 라운지는 24시간)"
콜렉티보 판교테크원점,판교,경기 성남시 분당구 판교역 인접,⭐5,1,"🔌있음 | 🔇조용 | 테크 기업인들의 아지트, 아메리카노 4,500원, 무료 주차장, 주말 혼잡",
자유의지,판교,경기 성남시 분당구 판교,⭐4,1,"🔇조용 | 로스터리 카페, 드립커피 6,500원, 별점 4.8/5, 인근 유료 주차장",
까치화방,판교,경기 성남시 분당구 판교역 인근,⭐3,1,"체리빙수 맛집, 호텔st 빙수 가성비",
스테드패스트 판교,판교,경기 성남시 분당구 판교,⭐3,1,"대형 카페, 데이트/작업 다목적",
오픈커피 백현동,판교,경기 성남시 분당구 백현동 카페거리,⭐4,1,"🔉보통 | 디저트 맛집, 카공 밸런스 좋음, 작곡하러 온 사람도 봄",
